13,-7,-2,-1,3,-3,-2,17
12,38,16,16,8,7,2,-7
-33,-47,-12,-10,-7,-10,-8,-1
-2,11,-26,-14,-11,-7,-5,-8
10,18,27,12,6,2,-2,10
2,-1,-36,-7,-5,-5,-1,-1
-13,1,20,-4,-4,-2,-5,-10
-15,-47,-31,-12,-4,-1,-1,-3
-1,-4,-1,2,-1,-4,-2,5
8,28,40,20,6,2,2,-1
18,61,0,6,9,6,5,3
-51,-82,-18,-7,-3,-1,-6,-16
25,-1,19,3,-7,-4,-10,-10
1,23,11,10,8,6,6,5
3,-40,-28,-5,6,3,-1,-2
-6,-18,-35,-14,-3,-5,1,23
66,70,33,13,7,11,18,21
-34,-40,-33,-14,-11,-10,-10,-27
3,5,57,11,2,0,0,7
33,35,-7,6,2,4,5,16
-29,-45,-37,-27,-11,-4,2,27
35,36,12,6,0,2,1,-8
-27,-35,-6,-11,-7,-12,-8,-7
49,66,56,26,15,14,10,-2
-43,-54,-22,-7,-7,-10,-4,2
-21,19,-3,-3,-1,-2,-4,4
40,59,41,17,7,13,12,49
23,3,-26,-6,1,-3,-7,-33
18,16,-11,4,2,-3,-11,-22
-33,-29,-17,-11,-6,-5,-5,-7
13,-9,-16,-13,-11,-8,-9,-22
-13,-31,13,-4,-4,2,8,31
-27,39,-11,0,2,-6,-10,-14
-4,-9,-22,-18,-15,-17,-9,-27
-22,-46,-40,-4,2,3,2,-11
2,11,5,-6,1,5,3,7
-30,3,-6,-2,-4,-9,-8,-30
34,14,34,0,-2,-2,-1,30
6,79,22,12,9,9,9,-2
-22,34,-12,-6,0,1,-9,-23
4,11,14,3,-2,-1,2,25
21,-5,17,7,4,2,0,16
15,17,0,1,-2,-3,1,4
2,2,5,-5,-7,-7,-1,21
4,-24,-7,-4,-3,-7,-10,-34
-26,14,-12,-4,-1,3,6,10
-9,-59,-3,0,-4,-5,-4,-6
-1,-10,37,9,4,2,-4,-18
-14,-36,-35,-11,-8,-8,-4,-2
-9,29,16,2,0,1,4,-1
-8,-9,-48,-8,-3,-1,5,11
3,17,15,11,6,5,3,6
4,18,8,4,5,7,6,11
5,33,28,4,0,1,0,-10
0,-16,-8,0,-3,-4,-2,4
-23,-28,-52,-21,-10,-6,-10,-14
-9,-22,8,0,2,1,-1,10
-9,-74,-21,-7,-6,-5,2,23
7,-16,-11,-7,-4,-5,-3,19
1,12,23,4,-3,-3,-1,-10
4,-19,-27,-6,-3,-5,-3,3
-30,-70,-36,-9,-3,0,-3,-9
14,38,11,6,11,11,17,18
20,22,22,1,-4,-4,-6,0
4,-12,-16,-5,-2,-1,-4,-2
5,-8,5,6,-2,0,-3,-8
5,37,36,10,5,2,-1,-13
-16,-28,-27,-2,-1,-4,-1,-5
-4,-2,1,-5,3,1,4,-2
10,-8,6,2,-1,4,2,-3
-26,-23,-23,-21,-12,-10,-10,-21
3,2,5,2,5,6,10,27
5,39,26,9,8,3,0,5
11,3,-8,7,5,1,1,-3
-4,-2,-27,-8,-8,-7,-7,0
8,7,13,0,-3,0,0,-2
12,41,33,25,10,10,5,4
18,27,-19,7,6,3,0,1
-13,-56,-25,-39,-20,-9,-7,-10
-9,-9,1,-19,-10,-9,-5,-9
7,75,10,-4,-4,2,2,4
2,15,24,32,16,2,-2,-5
2,-9,26,75,25,1,-1,-2
-11,-16,-21,-52,-26,-13,-8,-12
6,-12,-31,-46,-34,-13,-8,-5
-9,-8,0,-23,-6,-2,-2,0
13,41,49,70,39,16,7,2
-14,-21,-22,-13,9,3,-5,-7
-22,-53,-21,-68,-56,-22,-7,-6
-11,-13,-6,2,-3,-10,-8,-9
7,16,17,11,26,13,3,0
8,23,20,20,9,10,7,5
-7,-50,-55,-17,2,-15,-9,-7
-8,-15,-24,-44,-38,-8,-2,-4
2,16,18,5,-4,-2,1,-3
0,9,18,43,18,6,1,1
0,-1,18,40,18,9,2,0
-5,-9,9,8,9,4,-1,-2
0,2,-13,-20,-6,-7,-6,-4
1,7,-7,-27,-12,-1,0,2
-1,-10,3,9,5,2,1,-1
4,20,24,28,10,1,0,-1
-8,-9,-19,-21,-15,-1,-1,-3
8,0,-27,-43,-27,-13,-7,-7
4,19,35,40,23,8,1,0
-1,-14,-7,-3,9,6,3,-1
-9,-24,-9,-22,-16,-3,-3,-1
2,9,43,32,7,1,1,2
7,8,-20,-6,-5,-4,-5,-2
-12,-13,-10,-19,-11,-3,-3,-3
-8,-30,-5,-12,-13,-10,-6,-7
3,7,18,24,15,6,2,0
-10,-4,4,-7,-3,-3,-3,-1
6,25,11,4,4,0,1,1
1,8,-6,-11,-7,-3,-2,-1
2,-1,-9,1,-2,0,-1,-1
-17,-31,0,-5,0,-1,0,-8
0,7,3,5,2,-1,0,0
-4,-4,-15,-11,-4,-2,-3,-2
0,-7,-18,-3,-4,-2,-1,-1
-8,-21,-1,8,5,2,-3,-3
0,7,7,1,-7,-5,-1,-2
0,2,0,-3,-2,-2,1,-3
7,23,8,3,6,3,1,2
0,-4,2,-2,4,4,2,1
-2,-1,-5,3,5,3,-1,-1
-4,-14,-22,-18,-10,-4,-4,-4
-6,-25,-7,12,-2,-4,-1,-2
2,-5,7,-3,-4,-5,-2,-3
-5,-5,-14,-11,-10,-5,0,2
3,6,-2,-3,-1,0,2,1
-3,-7,2,9,8,5,5,0
6,12,4,8,4,-2,-2,0
0,-3,6,3,1,0,-2,-3
-2,-3,-12,-14,-12,-5,-6,-1
-9,0,-5,-10,-13,-8,-2,-5
4,8,2,4,7,4,1,5
4,-3,8,13,16,14,14,5
2,8,4,3,4,0,-2,1
-1,-2,-5,-6,-8,-11,-11,-2
-1,-4,-7,-7,-11,-5,-2,-2
-1,0,-6,-10,1,-2,-1,-2
5,7,5,3,4,-7,-11,1
